timestamp,frequency,signal_strength,label
0.1,1002.48,-84.25,Normal
0.2,999.31,-81.26,Normal
0.3,1003.24,-81.03,Normal
0.4,1007.62,-82.41,Noisy
0.5,998.83,-80.48,Normal
0.6,998.83,-78.79,Normal
0.7,1007.9,-74.34,Noisy
0.8,1003.84,-79.48,Normal
0.9,997.65,-79.23,Normal
1.0,1002.71,-80.22,Normal
1.1,997.68,-85.76,Normal
1.2,997.67,-80.08,Normal
1.3,1001.21,-79.82,Normal
1.4,990.43,-72.61,Noisy
1.5,991.38,-80.58,Noisy
1.6,997.19,-79.1,Normal
1.7,994.94,-80.1,Noisy
1.8,1001.57,-83.51,Normal
1.9,995.46,-76.57,Noisy
2.0,992.94,-77.74,Noisy
2.1,1007.33,-77.63,Noisy
2.2,998.87,-82.73,Normal
2.3,1000.34,-75.79,Normal
2.4,992.88,-84.21,Noisy
2.5,997.28,-78.24,Normal
2.6,1000.55,-73.43,Normal
2.7,994.25,-82.97,Noisy
2.8,1001.88,-81.7,Normal
2.9,997.0,-79.7,Normal
3.0,998.54,-81.51,Normal
3.1,996.99,-84.65,Normal
3.2,1009.26,-79.79,Noisy
3.3,999.93,-83.19,Normal
3.4,994.71,-78.58,Noisy
3.5,1004.11,-82.76,Noisy
3.6,993.9,-75.35,Noisy
3.7,1001.04,-82.35,Normal
3.8,990.2,-80.97,Noisy
3.9,993.36,-77.56,Noisy
4.0,1000.98,-83.69,Normal
4.1,1003.69,-79.32,Normal
4.2,1000.86,-76.08,Normal
4.3,999.42,-84.82,Normal
4.4,998.49,-79.45,Normal
4.5,992.61,-79.22,Noisy
4.6,996.4,-77.65,Normal
4.7,997.7,-83.71,Normal
4.8,1005.29,-83.96,Noisy
4.9,1001.72,-78.43,Normal
5.0,991.18,-79.11,Noisy
5.1,1001.62,-79.25,Normal
5.2,998.07,-78.96,Normal
5.3,996.62,-82.04,Normal
5.4,1003.06,-79.3,Normal
5.5,1005.15,-79.12,Noisy
5.6,1004.66,-82.14,Noisy
5.7,995.8,-74.4,Noisy
5.8,998.45,-78.58,Normal
5.9,1001.66,-83.57,Normal
6.0,1004.88,-78.03,Noisy
6.1,997.6,-82.92,Normal
6.2,999.07,-77.64,Normal
6.3,994.47,-76.52,Noisy
6.4,994.02,-82.46,Noisy
6.5,1004.06,-77.11,Noisy
6.6,1006.78,-78.76,Noisy
6.7,999.64,-77.53,Normal
6.8,1005.02,-74.31,Noisy
6.9,1001.81,-80.74,Normal
7.0,996.77,-82.26,Normal
7.1,1001.81,-82.67,Normal
7.2,1007.69,-82.45,Noisy
7.3,999.82,-80.23,Normal
7.4,1007.82,-78.98,Noisy
7.5,986.9,-79.17,Noisy
7.6,1004.11,-77.52,Noisy
7.7,1000.44,-79.96,Normal
7.8,998.5,-75.64,Normal
7.9,1000.46,-80.79,Normal
8.0,990.06,-71.84,Noisy
8.1,998.9,-78.12,Normal
8.2,1001.79,-82.57,Normal
8.3,1007.39,-83.21,Noisy
8.4,997.41,-78.55,Normal
8.5,995.96,-80.67,Noisy
8.6,997.49,-77.86,Normal
8.7,1004.58,-78.58,Noisy
8.8,1001.64,-80.22,Normal
8.9,997.35,-82.54,Normal
9.0,1002.57,-84.54,Normal
9.1,1000.49,-81.34,Normal
9.2,1004.84,-77.43,Noisy
9.3,996.49,-79.36,Normal
9.4,998.36,-83.74,Normal
9.5,998.04,-79.48,Normal
9.6,992.68,-78.84,Noisy
9.7,1001.48,-82.65,Normal
9.8,1001.31,-79.54,Normal
9.9,1000.03,-79.83,Normal
10.0,998.83,-83.43,Normal
